DateTime,uniqueID,latitude,longitude
5/29/2023 7:00,54075,37.14104,-109.15638
5/29/2023 9:00,54075,37.14024,-109.15562
5/29/2023 11:01,54075,37.13796,-109.15672
5/29/2023 13:00,54075,37.13734,-109.15773
5/29/2023 15:00,54075,37.13691,-109.1587
5/29/2023 17:00,54075,37.13732,-109.15731
5/29/2023 19:00,54075,37.13758,-109.15594
5/29/2023 21:00,54075,37.13555,-109.15894
5/29/2023 23:00,54075,37.13682,-109.16002
5/30/2023 1:00,54075,37.13686,-109.15913
5/30/2023 3:00,54075,37.13742,-109.16004
5/30/2023 5:00,54075,37.13643,-109.15977
5/30/2023 7:00,54075,37.1368,-109.1564
5/30/2023 9:00,54075,37.13404,-109.15566
5/30/2023 11:00,54075,37.13359,-109.15653
5/30/2023 13:00,54075,37.13425,-109.15695
5/30/2023 15:00,54075,37.13485,-109.15749
5/30/2023 17:00,54075,37.13547,-109.15747
5/30/2023 19:00,54075,37.13674,-109.15661
5/30/2023 21:00,54075,37.14206,-109.15676
5/30/2023 23:01,54075,37.14239,-109.15628
5/31/2023 1:00,54075,37.14108,-109.15787
5/31/2023 3:00,54075,37.14115,-109.15804
5/31/2023 5:00,54075,37.14167,-109.15823
5/31/2023 7:00,54075,37.14698,-109.15411
5/31/2023 9:00,54075,37.14644,-109.1555
5/31/2023 11:00,54075,37.14674,-109.15661
5/31/2023 13:00,54075,37.14705,-109.15617
5/31/2023 15:00,54075,37.14652,-109.15535
5/31/2023 17:00,54075,37.14672,-109.15382
5/31/2023 19:00,54075,37.14597,-109.15608
5/31/2023 21:00,54075,37.14876,-109.15819
5/31/2023 23:00,54075,37.14818,-109.15934
6/1/2023 1:00,54075,37.14779,-109.16155
6/1/2023 3:00,54075,37.14789,-109.16193
6/1/2023 5:00,54075,37.14818,-109.16175
6/1/2023 7:00,54075,37.14775,-109.15828
6/1/2023 9:00,54075,37.14683,-109.15763
6/1/2023 11:00,54075,37.146,-109.15783
6/1/2023 13:00,54075,37.14523,-109.15781
6/1/2023 15:00,54075,37.14657,-109.15558
6/1/2023 17:00,54075,37.14694,-109.15428
6/1/2023 19:00,54075,37.14673,-109.15398
6/1/2023 21:00,54075,37.14623,-109.15512
6/1/2023 23:00,54075,37.14628,-109.15661
6/2/2023 1:00,54075,37.14633,-109.15651
6/2/2023 3:00,54075,37.14645,-109.15647
6/2/2023 5:00,54075,37.14659,-109.15676
6/2/2023 7:00,54075,37.14605,-109.15687
6/2/2023 9:00,54075,37.14643,-109.15627
6/2/2023 11:00,54075,37.1467,-109.15375
6/2/2023 13:00,54075,37.14571,-109.1547
6/2/2023 15:00,54075,37.14673,-109.15394
6/2/2023 17:00,54075,37.14548,-109.15482
6/2/2023 19:00,54075,37.14546,-109.1559
6/2/2023 21:00,54075,37.14509,-109.1564
6/2/2023 23:00,54075,37.14603,-109.15678
6/3/2023 1:00,54075,37.1485,-109.15445
6/3/2023 3:00,54075,37.15205,-109.15029
6/3/2023 5:00,54075,37.15179,-109.1502
6/3/2023 7:00,54075,37.14765,-109.15274
6/3/2023 9:00,54075,37.14797,-109.15306
6/3/2023 11:00,54075,37.14823,-109.1539
6/3/2023 13:00,54075,37.14824,-109.1534
6/3/2023 15:00,54075,37.14672,-109.15386
6/3/2023 17:00,54075,37.14674,-109.15474
6/3/2023 19:00,54075,37.1457,-109.15598
6/3/2023 21:01,54075,37.14605,-109.15548
6/3/2023 23:00,54075,37.14278,-109.15909
6/4/2023 1:00,54075,37.14285,-109.15968
6/4/2023 3:00,54075,37.14328,-109.15847
6/4/2023 5:00,54075,37.14305,-109.15872
6/4/2023 7:00,54075,37.14427,-109.15802
6/4/2023 9:00,54075,37.14717,-109.15707
6/4/2023 11:01,54075,37.14838,-109.15721
6/4/2023 13:00,54075,37.14692,-109.15317
6/4/2023 15:00,54075,37.14684,-109.15289
6/4/2023 17:00,54075,37.14621,-109.15309
6/4/2023 19:00,54075,37.1452,-109.15571
6/4/2023 21:00,54075,37.14112,-109.1559
6/4/2023 23:00,54075,37.14089,-109.15787
6/5/2023 1:00,54075,37.14105,-109.15782
6/5/2023 3:00,54075,37.14112,-109.1603
6/5/2023 5:00,54075,37.14104,-109.16002
6/5/2023 7:00,54075,37.14199,-109.15821
6/5/2023 9:00,54075,37.14299,-109.15703
6/5/2023 11:00,54075,37.14287,-109.1575
6/5/2023 13:00,54075,37.14281,-109.15782
6/5/2023 15:00,54075,37.14478,-109.15791
6/5/2023 17:00,54075,37.14483,-109.15754
6/5/2023 19:00,54075,37.14382,-109.15708
6/5/2023 21:00,54075,37.14253,-109.15627
6/5/2023 23:00,54075,37.14319,-109.15776
6/6/2023 1:00,54075,37.14247,-109.15836
6/6/2023 3:00,54075,37.14265,-109.15894
6/6/2023 5:00,54075,37.14368,-109.15977
6/6/2023 7:00,54075,37.14405,-109.15897
6/6/2023 9:01,54075,37.14558,-109.1593
6/6/2023 11:00,54075,37.14725,-109.15701
6/6/2023 13:00,54075,37.14738,-109.15711
6/6/2023 15:00,54075,37.14694,-109.15489
6/6/2023 19:00,54075,37.14793,-109.15369
6/6/2023 21:00,54075,37.14723,-109.15481
6/6/2023 23:00,54075,37.14745,-109.15496
6/7/2023 1:00,54075,37.14698,-109.15409
6/7/2023 3:00,54075,37.14722,-109.15457
6/7/2023 5:00,54075,37.14741,-109.15489
6/7/2023 7:00,54075,37.14826,-109.15426
6/7/2023 9:00,54075,37.14898,-109.15615
6/7/2023 11:00,54075,37.14825,-109.15561
6/7/2023 13:00,54075,37.14831,-109.15393
6/7/2023 15:00,54075,37.14805,-109.15504
6/7/2023 17:00,54075,37.14738,-109.15319
6/7/2023 19:00,54075,37.14458,-109.15438
6/7/2023 21:00,54075,37.1426,-109.15674
6/7/2023 23:00,54075,37.14245,-109.15876
6/8/2023 1:00,54075,37.14277,-109.15802
6/8/2023 3:00,54075,37.14391,-109.15842
6/8/2023 5:00,54075,37.14277,-109.15863
6/8/2023 7:00,54075,37.1456,-109.15818
6/8/2023 9:00,54075,37.14641,-109.15756
6/8/2023 11:00,54075,37.1475,-109.15596
6/8/2023 13:00,54075,37.14688,-109.15403
6/8/2023 15:00,54075,37.14564,-109.15342
6/8/2023 17:00,54075,37.14472,-109.15201
6/8/2023 19:00,54075,37.14588,-109.15035
6/8/2023 21:00,54075,37.15118,-109.15089
6/8/2023 23:00,54075,37.1514,-109.15083
6/9/2023 1:00,54075,37.15145,-109.15041
6/9/2023 3:00,54075,37.15092,-109.15129
6/9/2023 5:00,54075,37.15092,-109.15079
6/9/2023 7:00,54075,37.14747,-109.15954
6/9/2023 9:00,54075,37.14818,-109.1543
6/9/2023 11:00,54075,37.14862,-109.15329
6/9/2023 13:00,54075,37.14848,-109.15295
6/9/2023 15:00,54075,37.14857,-109.15332
6/9/2023 17:00,54075,37.14703,-109.15509
6/9/2023 19:00,54075,37.14535,-109.15489
6/9/2023 21:00,54075,37.14326,-109.15605
6/9/2023 23:00,54075,37.14255,-109.15645
6/10/2023 1:00,54075,37.14284,-109.15815
6/10/2023 3:00,54075,37.14288,-109.15828
6/10/2023 5:00,54075,37.14279,-109.15806
6/10/2023 7:00,54075,37.14602,-109.15741
6/10/2023 9:00,54075,37.14827,-109.1544
6/10/2023 11:00,54075,37.14858,-109.15397
6/10/2023 13:00,54075,37.14856,-109.15405
6/10/2023 15:00,54075,37.14698,-109.15495
6/10/2023 17:01,54075,37.14701,-109.15461
6/10/2023 19:00,54075,37.14714,-109.15493
6/10/2023 21:00,54075,37.14602,-109.1566
6/10/2023 23:00,54075,37.14846,-109.15924
6/11/2023 1:00,54075,37.14772,-109.16002
6/11/2023 3:00,54075,37.14799,-109.1626
6/11/2023 5:00,54075,37.15216,-109.16616
6/11/2023 7:00,54075,37.14762,-109.15954
6/11/2023 9:00,54075,37.14822,-109.1537
6/11/2023 11:00,54075,37.14843,-109.1538
6/11/2023 13:00,54075,37.14796,-109.15378
6/11/2023 15:00,54075,37.1481,-109.1547
6/11/2023 17:00,54075,37.14817,-109.15417
6/11/2023 19:00,54075,37.14571,-109.1535
6/11/2023 21:00,54075,37.14619,-109.15644
6/11/2023 23:00,54075,37.14615,-109.15688
6/12/2023 1:00,54075,37.1475,-109.16016
6/12/2023 3:00,54075,37.1477,-109.16011
6/12/2023 9:00,54075,37.14892,-109.1573
6/12/2023 11:00,54075,37.14875,-109.15753
6/12/2023 13:00,54075,37.14939,-109.15705
